east,north,height,cat
8.94429042,39.3520494,21,2
8.94428769,39.352059,21,2
8.94428496,39.3520686,21,2
8.94428223,39.3520782,21,2
8.9442795,39.3520878,21,2
8.94427677,39.3520974,21,2
8.94427404,39.352107,21,2
8.94427131,39.3521166,21,2
8.94426858,39.3521262,21,2
8.94426585,39.3521358,21,2
8.94426312,39.3521454,21,2
8.94426039,39.352155,21,2
8.94425766,39.3521646,21,2
8.94425493,39.3521742,21,2
8.9442522,39.3521838,21,2
8.94424947,39.3521934,21,2
8.94424674,39.352203,21,2
8.94424401,39.3522126,21,2
8.94424128,39.3522222,21,2
8.94423855,39.3522318,21,2
8.94423582,39.3522414,21,2
8.94423309,39.352251,21,2
8.94423036,39.3522606,21,2
8.94422763,39.3522702,21,2
8.9442249,39.3522798,21,2
8.94422217,39.3522894,21,2
8.94421944,39.352299,21,2
8.94421671,39.3523086,21,2
8.94421398,39.3523182,21,2
8.94421125,39.3523278,21,2
8.94420852,39.3523374,21,2
8.94420579,39.352347,21,2
8.94420306,39.3523566,21,2
8.94420033,39.3523662,21,2
8.9441976,39.3523758,21,2
8.94419487,39.3523854,21,2
8.94419214,39.352395,21,2
8.94418941,39.3524046,21,2
8.94418669,39.3524142,21,2
8.94418396,39.3524238,21,2
8.94418123,39.3524334,21,2
8.9441785,39.352443,21,2
8.94417577,39.3524526,21,2
8.94417304,39.3524622,21,2
8.94417031,39.3524718,21,2
8.94416758,39.3524814,21,2
8.94416485,39.352491,21,2
8.94416212,39.3525006,21,2
8.94415939,39.3525102,21,2
8.94415666,39.3525198,21,2
8.94415393,39.3525294,21,2
8.9441512,39.352539,21,2
8.94414847,39.3525486,21,2
8.94414574,39.3525582,21,2
8.94414301,39.3525678,21,2
8.94414028,39.3525774,21,2
8.94413755,39.352587,21,2
8.94413482,39.3525966,21,2
8.94413209,39.3526062,21,2
8.94412936,39.3526158,21,2
8.94412663,39.3526254,21,2
8.9441239,39.352635,21,2
8.94412117,39.3526446,21,2
8.94411844,39.3526542,21,2
8.94411571,39.3526638,21,2
8.94411298,39.3526734,21,2
8.94411025,39.352683,21,2
8.94410752,39.3526926,21,2
8.94410479,39.3527022,21,2
8.94410206,39.3527118,21,2
8.94409933,39.3527214,21,2
8.9440966,39.352731,21,2
8.94409387,39.3527406,21,2
8.94409114,39.3527502,21,2
8.94408841,39.3527598,21,2
8.94408568,39.3527694,21,2
8.94408295,39.352779,21,2
8.94408022,39.3527886,21,2
8.94407749,39.3527982,21,2
8.94407476,39.3528078,21,2
8.94407203,39.3528174,21,2
8.9440693,39.352827,21,2
8.94406657,39.3528366,21,2
8.94406384,39.3528462,21,2
8.94406111,39.3528558,21,2
8.94405838,39.3528654,21,2
8.94405565,39.352875,21,2
8.94405292,39.3528846,21,2
8.94405019,39.3528942,21,2
8.94404746,39.3529038,21,2
8.94404473,39.3529134,21,2
8.944042,39.352923,21,2
8.94403927,39.3529326,21,2
8.94403654,39.3529422,21,2
8.94403381,39.3529518,21,2
8.94403108,39.3529614,21,2
8.94402835,39.352971,21,2
8.94402562,39.3529806,21,2
8.94402289,39.3529902,21,2
8.94402016,39.3529998,21,2
8.94401743,39.3530094,21,2
8.9440147,39.353019,21,2
8.94401197,39.3530286,21,2
8.94400924,39.3530382,21,2
8.94400651,39.3530478,21,2
8.94400378,39.3530574,21,2
8.94400105,39.353067,21,2
8.94399832,39.3530766,21,2
8.94399559,39.3530862,21,2
8.94399286,39.3530958,21,2
8.94399013,39.3531054,21,2
8.9439874,39.353115,21,2
8.94398467,39.3531246,21,2
8.94398194,39.3531342,21,2
8.94397921,39.3531438,21,2
8.94397648,39.3531534,21,2
8.94397375,39.353163,21,2
8.94397102,39.3531726,21,2
8.94396829,39.3531822,21,2
8.94396556,39.3531918,21,2
8.94396283,39.3532014,21,2
8.9439601,39.353211,21,2
8.94395732,39.35322059,21,2
8.94395455,39.35323019,21,2
8.94395177,39.35323978,21,2
8.94394899,39.35324938,21,2
8.94394622,39.35325897,21,2
8.94394344,39.35326856,21,2
8.94394066,39.35327816,21,2
8.94393789,39.35328775,21,2
8.94393511,39.35329735,21,2
8.94393233,39.35330694,21,2
8.94392956,39.35331654,21,2
8.94392678,39.35332613,20.99525039,2
8.943924,39.35333572,20.98416583,2
8.94392123,39.35334532,20.97308126,2
8.94391845,39.35335491,20.96199669,2
8.94391567,39.35336451,20.95091212,2
8.9439129,39.3533741,20.93982755,2
8.94391012,39.35338369,20.92874299,2
8.94390734,39.35339329,20.91765842,2
8.94390457,39.35340288,20.90657385,2
8.94390179,39.35341248,20.89548928,2
8.94389901,39.35342207,20.88440472,2
8.94389624,39.35343167,20.87332015,2
8.94389346,39.35344126,20.86223558,2
8.94389068,39.35345085,20.85115101,2
8.94388791,39.35346045,20.84006644,2
8.94388513,39.35347004,20.82898188,2
8.94388235,39.35347964,20.81789731,2
8.94387958,39.35348923,20.80681274,2
8.9438768,39.35349882,20.79572817,2
8.94387403,39.35350842,20.78464361,2
8.94387125,39.35351801,20.77355904,2
8.94386847,39.35352761,20.76247447,2
8.9438657,39.3535372,20.7513899,2
8.94386292,39.3535468,20.74030533,2
8.94386014,39.35355639,20.72922077,2
8.94385737,39.35356598,20.7181362,2
8.94385459,39.35357558,20.70705163,2
8.94385181,39.35358517,20.69596706,2
8.94384904,39.35359477,20.6848825,2
8.94384626,39.35360436,20.67379793,2
8.94384348,39.35361395,20.66271336,2
8.94384071,39.35362355,20.65162879,2
8.94383793,39.35363314,20.64054422,2
8.94383515,39.35364274,20.62945966,2
8.94383238,39.35365233,20.61837509,2
8.9438296,39.35366193,20.60729052,2
8.94382682,39.35367152,20.59620595,2
8.94382405,39.35368111,20.58512139,2
8.94382127,39.35369071,20.57403682,2
